2019-05-07 13:07:51,170 - INFO - market_maker - run_loop - MarketReport -{'last': 5905.5, 'buy': 5905.0, 'sell': 5905.5, 'mid': 5905.0, 'tickLog': 1, 'pos': -2360, 'h_lines': 5905.5, 'l_lines': 5873.5, 'last_bef': 5905.5, 'last_aft': 5905.5, 'atr': 5.6, 'sma': 5894.675}
2019-05-07 13:08:01,476 - INFO - market_maker - run_loop - MarketReport -{'last': 5905.5, 'buy': 5905.0, 'sell': 5905.5, 'mid': 5905.0, 'tickLog': 1, 'pos': -2500, 'h_lines': 5905.5, 'l_lines': 5873.5, 'last_bef': 5905.5, 'last_aft': 5905.5, 'atr': 5.5, 'sma': 5894.775}
2019-05-07 13:08:10,660 - INFO - market_maker - run_loop - MarketReport -{'last': 5905.0, 'buy': 5905.0, 'sell': 5905.5, 'mid': 5905.0, 'tickLog': 1, 'pos': -2560, 'h_lines': 5905.5, 'l_lines': 5873.5, 'last_bef': 5905.0, 'last_aft': 5905.0, 'atr': 5.5, 'sma': 5894.775}
2019-05-07 13:08:23,092 - INFO - market_maker - run_loop - MarketReport -{'last': 5905.5, 'buy': 5905.0, 'sell': 5905.5, 'mid': 5905.0, 'tickLog': 1, 'pos': -2700, 'h_lines': 5905.5, 'l_lines': 5873.5, 'last_bef': 5905.5, 'last_aft': 5905.5, 'atr': 5.5, 'sma': 5894.775}
2019-05-07 13:08:33,362 - INFO - market_maker - run_loop - MarketReport -{'last': 5905.5, 'buy': 5905.0, 'sell': 5905.5, 'mid': 5905.0, 'tickLog': 1, 'pos': -2700, 'h_lines': 5905.5, 'l_lines': 5873.5, 'last_bef': 5905.5, 'last_aft': 5905.5, 'atr': 5.5, 'sma': 5894.775}
2019-05-07 13:08:40,600 - INFO - market_maker - run_loop - MarketReport -{'last': 5905.0, 'buy': 5905.0, 'sell': 5905.5, 'mid': 5905.0, 'tickLog': 1, 'pos': -2740, 'h_lines': 5905.5, 'l_lines': 5873.5, 'last_bef': 5905.0, 'last_aft': 5905.0, 'atr': 5.5, 'sma': 5894.775}
2019-05-07 13:08:50,647 - INFO - market_maker - run_loop - MarketReport -{'last': 5905.0, 'buy': 5905.0, 'sell': 5905.5, 'mid': 5905.0, 'tickLog': 1, 'pos': -2680, 'h_lines': 5905.5, 'l_lines': 5873.5, 'last_bef': 5905.0, 'last_aft': 5905.0, 'atr': 5.5, 'sma': 5894.775}
2019-05-07 13:09:01,231 - INFO - market_maker - run_loop - MarketReport -{'last': 5904.0, 'buy': 5904.0, 'sell': 5904.5, 'mid': 5904.0, 'tickLog': 1, 'pos': -2180, 'h_lines': 5905.5, 'l_lines': 5873.5, 'last_bef': 5904.5, 'last_aft': 5904.5, 'atr': 5.45, 'sma': 5894.65}
2019-05-07 13:09:31,026 - INFO - market_maker - run_loop - MarketReport -{'last': 5902.5, 'buy': 5902.0, 'sell': 5902.5, 'mid': 5902.0, 'tickLog': 1, 'pos': -1360, 'h_lines': 5905.5, 'l_lines': 5873.5, 'last_bef': 5902.5, 'last_aft': 5902.5, 'atr': 5.45, 'sma': 5894.65}
2019-05-07 13:09:40,633 - INFO - market_maker - run_loop - MarketReport -{'last': 5902.0, 'buy': 5902.0, 'sell': 5902.5, 'mid': 5902.0, 'tickLog': 1, 'pos': -1360, 'h_lines': 5905.5, 'l_lines': 5873.5, 'last_bef': 5902.0, 'last_aft': 5902.0, 'atr': 5.45, 'sma': 5894.65}
